[Connect DataFile][1.1]
Date:;04/06/2025
Time:;14:48:53,583
Unit:;°C
Resolution:;0,05
Values:;5
Time;Head;1;2;3;4;
00:00:05,350;275,5;458,6;473,3;479,5;506,3;
00:00:05,400;250,1;460,7;474,5;474,5;500,7;
00:00:05,450;181,2;454,7;465,6;467,1;491,5;
00:00:05,500;241,8;444,3;463,2;466,4;491,8;
00:00:05,550;302,3;433,9;460,7;465,7;492,1;
00:00:05,600;297,0;444,6;477,4;481,6;504,4;
00:00:05,650;297,2;437,8;469,5;474,9;499,2;
00:00:05,700;297,4;430,9;461,6;468,1;493,9;
00:00:05,750;303,1;434,3;457,6;467,4;495,0;
00:00:05,800;265,7;446,5;463,5;473,4;499,1;
00:00:05,850;228,2;458,6;469,3;479,4;503,1;
00:00:05,900;295,4;456,7;471,2;482,8;509,6;
00:00:05,950;302,0;450,4;468,7;480,1;509,6;
00:00:06,000;287,1;457,6;473,1;475,3;502,0;
00:00:06,050;170,5;451,3;458,8;461,6;488,1;
00:00:06,100;286,0;440,9;463,1;466,4;488,7;
00:00:06,150;302,2;432,7;456,9;460,5;485,6;
00:00:06,200;298,4;435,6;469,9;475,5;499,5;
00:00:06,250;209,4;443,4;470,7;470,2;490,3;
00:00:06,300;291,5;432,7;465,8;468,8;491,7;
00:00:06,350;277,7;443,4;470,9;477,2;499,1;
00:00:06,400;263,8;454,1;476,0;485,6;506,5;
00:00:06,450;180,7;454,9;463,7;473,2;497,2;
00:00:06,500;241,4;451,0;464,9;475,9;503,2;
00:00:06,550;302,0;447,1;466,1;478,6;509,2;
00:00:06,600;295,4;452,8;470,2;475,2;501,1;
00:00:06,650;293,5;444,4;465,2;470,0;493,6;
00:00:06,700;291,5;436,0;460,1;464,7;486,1;
00:00:06,750;298,0;431,7;455,2;458,4;481,3;
00:00:06,800;280,8;436,6;468,3;473,2;496,5;
00:00:06,850;173,8;436,6;461,1;462,2;484,0;
00:00:06,900;281,8;434,4;466,7;466,8;489,5;
00:00:06,950;297,7;429,7;455,6;465,7;491,1;
00:00:07,000;298,5;446,7;473,7;485,7;506,6;
00:00:07,050;232,7;446,2;457,0;469,5;493,9;
00:00:07,100;181,3;454,1;466,9;478,9;503,2;
00:00:07,150;332,4;448,2;465,2;480,1;506,1;
00:00:07,200;369,7;448,9;466,2;481,8;505,9;
00:00:07,250;349,0;463,2;470,0;485,4;491,8;
00:00:07,300;322,3;463,7;459,1;486,6;475,9;
00:00:07,350;391,5;472,7;466,0;464,6;333,2;
00:00:07,400;460,7;481,6;472,8;442,5;190,5;
00:00:07,450;454,9;470,8;444,8;198,8;144,4;
00:00:07,500;299,1;306,5;292,3;168,9;140,8;
00:00:07,550;143,2;142,2;139,8;139,0;137,2;
00:00:07,600;137,7;139,0;137,7;136,7;133,9;
00:00:07,650;136,8;137,7;136,8;135,3;132,6;
00:00:07,700;135,9;136,4;135,9;133,9;131,3;
00:00:07,750;134,6;135,9;135,9;133,9;132,3;
00:00:07,800;135,2;137,3;135,4;136,3;135,8;
00:00:07,850;134,1;137,5;136,7;138,2;138,0;
00:00:07,900;135,7;140,0;139,3;140,0;138,2;
00:00:07,950;137,2;143,4;141,7;139,3;137,7;
00:00:08,000;158,5;317,3;153,7;144,6;139,5;
00:00:08,050;443,4;481,3;444,9;286,8;144,6;
00:00:08,100;443,4;481,3;444,9;286,8;144,6;
00:00:08,150;468,7;478,9;493,9;509,2;497,1;
00:00:08,200;397,1;473,9;490,3;501,5;507,7;
00:00:08,250;325,4;468,8;486,6;493,8;518,3;
00:00:08,300;417,7;458,6;480,4;491,3;519,8;
00:00:08,350;417,7;458,6;480,4;491,3;519,8;
00:00:08,400;324,9;476,8;490,0;497,0;518,9;
00:00:08,450;320,0;465,9;480,2;485,9;508,5;
00:00:08,500;320,6;456,0;474,1;482,4;505,7;
00:00:08,550;321,1;446,1;468,0;478,8;502,8;
00:00:08,600;321,1;446,1;468,0;478,8;502,8;
00:00:08,650;303,1;440,5;454,4;483,8;486,3;
00:00:08,700;312,0;450,1;481,6;487,9;508,5;
00:00:08,750;318,6;444,0;472,6;480,7;501,6;
00:00:08,800;318,4;464,5;491,6;496,8;515,6;
00:00:08,850;318,4;464,5;491,6;496,8;515,6;
00:00:08,900;230,3;468,4;489,6;492,6;514,7;
00:00:08,950;312,8;457,0;480,1;490,8;517,1;
00:00:09,000;314,9;466,9;486,7;497,0;523,3;
00:00:09,050;233,7;474,4;487,2;492,8;515,3;
00:00:09,100;233,7;474,4;487,2;492,8;515,3;
